TCGA-COAD_TCGA-D5-6898-01A-11D-1924-10	1	4	2	0	2	1	0	1	0	0	1	0	2	2	0	3	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	2	0	15	2	2	2	8	1	1	1	15	0	2	0	6	0	2	0	0	0	0	0	0	1	0	0	0	1	0	1	2	0	0	0	1	1	2	0	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
TCGA-COAD_TCGA-DM-A0XF-01A-11D-A152-10	3	1	1	0	4	5	2	2	3	4	0	1	3	4	2	2	0	1	1	0	0	0	3	1	0	4	1	1	1	0	0	4	3	2	11	3	7	3	11	0	5	3	9	4	4	5	12	2	0	1	0	0	2	1	1	2	0	0	2	1	0	1	1	2	2	1	0	1	1	0	2	1	2	0	0	1	3	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	2	1	0	3
TCGA-COAD_TCGA-DM-A1D8-01A-11D-A152-10	3	3	3	1	7	8	0	3	4	6	0	2	4	3	0	5	1	1	0	2	0	1	0	2	0	1	0	0	2	0	0	5	2	5	17	1	1	3	22	4	2	1	21	1	2	2	15	1	0	2	0	4	0	0	1	2	1	1	0	2	1	2	1	2	2	1	1	4	4	0	2	3	0	3	2	0	4	1	0	0	0	1	0	0	1	1	2	5	0	0	1	2	1	1	2	1
TCGA-COAD_TCGA-DM-A285-01A-11D-A16V-10	2	4	1	1	5	1	5	2	2	1	1	4	9	4	2	2	1	1	2	2	0	1	0	1	1	0	0	1	4	1	0	2	0	2	16	2	10	2	18	2	1	0	23	5	4	4	14	4	0	0	0	1	0	0	3	3	1	0	1	2	2	2	1	5	6	1	2	2	2	2	4	6	1	0	1	1	4	1	1	4	1	0	0	1	1	1	2	3	0	0	1	0	1	1	1	3
TCGA-COAD_TCGA-DM-A288-01A-11D-A16V-10	0	0	0	0	3	2	5	3	1	0	1	1	0	4	2	2	3	1	0	0	0	0	1	0	0	2	0	0	2	0	0	5	1	2	12	2	1	1	13	1	0	3	16	0	4	1	4	3	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	6	0	0	2	0	0	1	0	0	0	0	3	0	0	0	0	6	0	0	0	0	1	0	1	0
TCGA-COAD_TCGA-DM-A28M-01A-12D-A16V-10	0	2	0	0	3	0	1	1	1	0	1	1	1	1	3	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	22	0	2	2	18	3	0	2	20	0	2	2	12	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	1	0	5	3	3	1	1	0	1	2	3	0	2	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1
TCGA-COAD_TCGA-F4-6459-01A-11D-1771-10	1	3	1	2	1	1	1	3	0	2	1	0	2	3	0	3	1	0	0	1	0	1	0	1	0	2	1	0	3	3	2	6	0	1	15	3	3	3	14	2	6	2	12	1	6	5	15	3	0	0	0	0	0	0	1	4	1	0	0	1	1	2	1	1	1	2	1	1	1	2	6	0	2	0	0	2	0	0	0	0	1	1	0	1	1	0	1	5	0	0	0	0	0	1	0	1
TCGA-COAD_TCGA-F4-6704-01A-11D-1835-10	2	1	1	0	1	2	0	1	1	0	0	1	0	2	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	2	1	2	8	0	2	0	8	3	1	1	15	1	4	3	8	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	1	0	7	2	3	0	1	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	1
TCGA-COAD_TCGA-F4-6806-01A-11D-1835-10	0	1	0	1	0	2	0	1	1	1	0	0	2	2	0	4	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	1	24	0	4	3	15	3	2	0	23	3	4	5	10	2	0	1	0	2	0	0	1	0	0	1	0	0	1	0	0	1	2	1	3	1	0	2	2	1	1	1	1	0	0	1	1	1	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0
TCGA-COAD_TCGA-G4-6297-01A-11D-1719-10	0	2	6	2	2	0	0	6	0	2	0	3	0	4	2	4	0	0	0	1	0	0	0	0	0	4	0	0	0	2	2	0	6	4	44	4	4	1	33	0	3	2	23	4	2	5	30	2	0	0	0	2	0	1	0	0	0	0	0	2	0	2	2	0	0	0	2	0	2	2	2	2	1	2	0	0	0	1	2	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0
TCGA-COAD_TCGA-G4-6299-01A-11D-1771-10	1	3	1	2	2	1	0	5	1	3	1	5	2	7	1	3	0	4	1	3	0	3	0	1	3	1	0	3	1	4	0	2	2	1	12	3	7	1	23	3	5	2	21	1	4	3	12	3	2	0	2	0	0	0	1	2	0	0	2	2	0	0	0	2	2	3	2	1	2	2	1	3	1	2	2	2	1	6	0	0	0	0	0	1	0	0	0	1	0	1	1	0	1	0	0	3
TCGA-COAD_TCGA-G4-6307-01A-11D-1719-10	3	2	0	1	0	2	0	2	2	1	0	0	4	0	0	3	0	0	0	4	1	0	1	0	0	0	0	0	5	0	0	1	0	2	6	1	3	1	13	2	2	3	14	1	0	4	7	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	2	3	0	0	1	0	2	1	0	1	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	2
TCGA-COAD_TCGA-G4-6625-01A-21D-1771-10	0	1	0	0	2	2	2	1	3	3	1	2	2	5	0	0	1	1	0	1	4	0	0	1	3	1	0	0	3	1	0	2	3	2	19	1	4	2	17	4	2	2	13	4	0	2	8	2	0	1	0	1	0	0	0	2	0	0	1	0	1	0	0	1	2	1	2	1	0	4	5	2	1	1	0	0	0	1	0	0	0	0	0	1	0	4	1	0	0	0	0	0	0	1	2	3
TCGA-COAD_TCGA-NH-A50U-01A-33D-A36X-10	1	1	0	0	2	1	1	1	1	1	0	0	1	0	3	5	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	2	14	1	0	2	17	2	1	2	16	0	6	1	10	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	1	1	1	2	1	0	2	2	0	0	0	1	2	0	1	0	0	0	0	0	1	0	0	0	3	0	0	1	2
TCGA-COAD_TCGA-NH-A8F7-01A-11D-A40P-10	5	4	0	1	3	1	1	0	1	2	1	3	4	2	1	4	2	3	0	2	0	1	0	1	0	0	0	0	1	0	1	2	0	4	22	2	2	3	19	2	2	5	17	1	2	5	10	1	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	1	1	0	0	2	0	2	1	0	1	1	1	0	1	0	0	2	0	0	2	0	0	0	0	1	1	0	2	1	1	0	1	0
TCGA-COAD_TCGA-QG-A5YV-01A-11D-A28G-10	3	5	2	2	2	2	1	1	1	2	1	2	3	2	3	5	0	1	0	1	1	1	0	1	0	0	0	1	3	1	1	2	1	2	34	1	5	1	25	6	2	7	37	0	3	3	16	3	0	0	0	1	0	1	1	3	1	0	0	0	0	0	0	0	0	1	2	2	0	0	1	3	4	1	0	0	0	2	0	1	0	0	0	1	0	0	2	4	0	0	0	0	0	0	0	2
TCGA-COAD_TCGA-QG-A5Z2-01A-11D-A28G-10	1	3	2	2	9	20	12	52	6	7	3	9	3	5	5	10	1	2	1	1	1	1	0	3	2	4	2	0	2	2	1	1	25	21	166	17	9	12	145	8	48	79	219	35	7	11	74	4	1	4	1	8	0	2	2	2	1	1	3	6	2	1	1	0	4	9	17	2	7	14	19	10	12	18	18	8	7	8	12	7	0	0	0	2	3	6	14	3	0	4	4	1	3	1	3	6
TCGA-COAD_TCGA-QL-A97D-01A-12D-A40P-10	4	5	0	4	0	1	4	3	6	2	3	6	5	2	0	10	2	1	2	1	1	3	1	2	2	2	1	1	2	2	0	5	2	4	29	4	7	5	33	4	4	7	48	4	1	3	19	4	1	1	1	1	0	3	4	1	2	2	1	1	1	3	0	3	4	2	1	3	1	2	2	2	3	2	2	4	1	4	0	2	0	0	0	1	0	3	2	1	0	0	1	2	1	0	0	3
